Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade,Grade range
ABS,Alcohol Beverage Services,ABS 85 Administration,M,175773,0,0,55,B
ABS,Alcohol Beverage Services,ABS 85 Administration,M,145513.36,0,0,56,B
ABS,Alcohol Beverage Services,ABS 85 Administration,F,136970,0,0,56,B
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,89332.693,0,2480,21,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,78937,455.68,6256.7,16,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,98228,508.8,998.28,21,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,82405.3864,538.2,0,18,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,92986,1187.06,2451.93,67,C
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,148464.15,0,9021.82,18,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,0,0,72,C
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,82808.28,11870.82,0,21,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,65761.8438,2092.7,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,57288.86,1013.01,0,13,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,139307.15,0,0,56,B
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,128521,0,0,74,C
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,151632.07,0,0,56,B
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,73944.294,3499.43,0,16,A
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,0,0,72,C
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,0,0,72,C
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,110562.154,0,0,73,C
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240,5193.68,994.18,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240,92.35,4827.4,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,86103,23917.44,3665.64,65,C
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240,9470.78,457.3,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,86103,3165.46,3665.65,65,C
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,74986.4837,6856.37,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,81921.2452,24672.86,0,65,C
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,2065.26,3471.32,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521.002,4452.91,3562.85,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,10989.68,3436.83,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,6494.89,1228.89,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57047.2324,7762.45,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,11987.31,1228.88,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,61240,7037.7,2091.16,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,72361.0418,8085.91,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68934.3934,4529.48,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,1662.14,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57288.8374,1653.62,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,44806.3492,3193.01,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,55482.9983,689.42,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,65334.165,2033.02,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52998.3375,103.06,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,60476.4824,2079.74,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,55897.155,7844.97,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51377.6689,1938.38,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,50025.2353,854.92,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,51571.028,5608.93,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,53062.345,4107.44,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,50537.6404,9244.92,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,48298.9741,558.16,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,43600.4411,4194.08,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,60263.8204,5688.37,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68888.9405,7057.41,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,55784.1676,0,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46425.4721,2092.35,0,10,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,69101.6093,5127.31,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75521,11131.12,0,15,A
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57881.0043,3328.4,0,15,A
